Text,labels
"Yes, this product sounds great. I would like to buy it.",positive
I've been looking for something like this. Tell me how to purchase.,positive
This seems useful. Please provide more details.,positive
"Sure, I’m interested in your product.",positive
I’m happy with the offer. How do I proceed?,positive
That price works for me,positive
It’s exactly what I need.  sign me up!,positive
I think this will solve my problem. Please go ahead.,positive
Let me know how I can make the payment.,positive
This is something I’ve been considering for a while. I’d like to buy.,positive
The discount makes it worthwhile. I’m in.,positive
Sounds interesting,positive
I’m convinced. Let’s finalize the details.,positive
Can you ship it to my address? I’ll take it.,positive
I’ve read good reviews about your product. Count me in.,positive
This is a good deal. I’ll take it.,positive
"Perfect, I was waiting for this. Let’s proceed.",positive
I’ve heard about this product. I want it.,positive
Please send me the invoice. I’m ready to buy.,positive
This fits my budget. I’ll go for it.,positive
I’d like to place an order for two units.,positive
Sounds like a good investment. I’m interested.,positive
"Yes, I’m ready to purchase this today.",positive
Let’s set up a time for delivery.,positive
I’m placing my order now.,positive
This is exactly what I was looking for. Sign me up.,positive
Please send me the confirmation email for this purchase.,positive
Can I get two of these? I’d like to buy for a friend too.,positive
This looks promising. I’d like to give it a try.,positive
I’ve used a similar product before. I’ll take this one.,positive
"Yes, I want to avail of the discount.",positive
I’d like to try it out. When can you deliver?,positive
"Sure, I’m okay with the terms. Let’s proceed.",positive
This is a fantastic offer. I’m going for it.,positive
It’s a great price. Please book one for me.,positive
This is within my budget. I’ll take it.,positive
I’m happy with this deal. Count me in.,positive
Sounds like it’ll work for me. I’d like to buy.,positive
Thank you for reaching out. I’d like to purchase this.,positive
I trust this brand. Let’s do it.,positive
This product is perfect for my needs. I’ll buy it.,positive
How soon can I get this? I want it.,positive
"I’ve done my research, and I’m ready to buy.",positive
Let me give you my details for the purchase.,positive
Please finalize this offer for me.,positive
This offer is hard to resist. I’m in.,positive
I’ve been waiting for this product. I’m buying it.,positive
Great timing! I’m ready to order.,positive
"Yes, I’m confident this will be worth it.",positive
Please process my order.,positive
I’ve been waiting for such an offer.  please sign me up.,positive
"Yes, this looks like a great option for me.",positive
I’d like to try this out.  how can I proceed?,positive
Please count me in for this amazing deal.,positive
I’m ready to make the payment.  just tell me how.,positive
Sounds like a fantastic deal. I want to grab it.,positive
I’m very interested. Can you confirm the details?,positive
"Yes, I need this product. Where do I order?",positive
This offer is too good to miss. Let’s move ahead.,positive
Please register my name for this product.,positive
I’m convinced this is what I need. Proceed with my order.,positive
"I’ve seen similar products, but this one stands out. I’ll buy it.",positive
I trust your recommendation.  let’s go ahead.,positive
This is exactly what I’ve been searching for.,positive
I’ll finalize this today. Just guide me.,positive
I’d like to purchase this immediately.,positive
Your explanation has been convincing. Count me in.,positive
I’m happy with this product. Let’s complete the deal.,positive
The features are impressive. I’ll take one.,positive
I’m good with the price. Let’s proceed.,positive
This product fits my needs perfectly.,positive
How can I secure this deal today?,positive
"Yes, I’m ready to make this purchase.",positive
I think this will work for me. Please book one.,positive
The payment terms look good. I’ll take it.,positive
I’d like to move forward with this product.,positive
The value you’re offering is excellent. I’m in.,positive
I was planning to buy something like this. I’ll take it.,positive
Let me know the final steps for the purchase.,positive
I’m very interested in this product. What’s next?,positive
"No, I’m not interested.",negative
"Sorry, I’m not looking for this right now.",negative
